Rank,Bank name,market_cap_€
1,JPMorgan Chase,388.85
2,Industrial and Commercial Bank of China,287.15
3,Bank of America,271.68
4,Wells Fargo,208.17
5,China Construction Bank,202.0
6,Agricultural Bank of China,176.27
7,HSBC Holdings PLC,164.6
8,Citigroup Inc.,158.87
9,Bank of China,146.8
10,China Merchants Bank,129.53
11,Royal Bank of Canada,110.53
12,Toronto-Dominion Bank,103.54
13,HDFC Bank,102.85
14,Commonwealth Bank,96.9
15,U.S. Bancorp,81.97
16,Goldman Sachs,76.44
17,Banco Santander,73.3
18,Banco Bradesco,72.52
19,Morgan Stanley,71.8
20,Westpac,65.89
21,Mitsubishi UFJ Financial Group,64.3
22,Scotiabank,63.6
23,PNC Financial Services,61.29
24,Bank of Communications,60.07
25,BNP Paribas,57.65
26,Australia and New Zealand Banking Group,53.3
27,National Australia Bank,50.19
28,Lloyds Banking Group,49.72
29,Sumitomo Mitsui Financial Group,48.42
30,Bank of Montreal,46.74
31,UBS,44.6
32,ING Group,43.68
33,Capital One,41.98
34,The Bank of New York Mellon,41.36
35,China Minsheng Bank,38.0
36,China CITIC Bank,37.44
37,Banco Bilbao Vizcaya Argentaria,36.34
38,Mizuho Financial Group,35.89
39,Intesa Sanpaolo,35.84
40,Crédit Agricole,33.89
41,Canadian Imperial Bank of Commerce,33.87
42,Royal Bank of Scotland,32.97
43,Barclays,32.3
44,Credit Suisse,29.87
45,Nordea,28.74
46,Standard Chartered,28.53
47,KBC Bank,26.61
48,UniCredit,26.11
49,Société Générale,20.66
50,Deutsche Bank,15.32
